,SENTIMENT,REVIEW,REVIEW_punctuation,REVIEW_punctuation_tokenized,REVIEW_punctuation_tokenized_sw,REVIEW_punctuation_tokenized_sw_stemmed,REVIEW_punctuation_tokenized_sw_lemmatized
1301,positive,Great app!!,Great app,"['great', 'app']","['great', 'app']","['great', 'app']","['great', 'app']"
1302,positive,But very well done,But very well done,"['but', 'very', 'well', 'done']","['well', 'done']","['well', 'done']","['well', 'done']"
1303,positive,Thank you 19 in my book!,Thank you 19 in my book,"['thank', 'you', '19', 'in', 'my', 'book']","['thank', '19', 'book']","['thank', '19', 'book']","['thank', '19', 'book']"
1304,positive,Great app to have on your phone.,Great app to have on your phone,"['great', 'app', 'to', 'have', 'on', 'your', 'phone']","['great', 'app', 'phone']","['great', 'app', 'phone']","['great', 'app', 'phone']"
1305,positive,Helpful!,Helpful,['helpful'],['helpful'],['help'],['helpful']
1306,positive,Awesome,Awesome,['awesome'],['awesome'],['awesom'],['awesome']
1307,positive,A lot of valuable easy to understand information. An excellent tool for anyone.,A lot of valuable easy to understand information An excellent tool for anyone,"['a', 'lot', 'of', 'valuable', 'easy', 'to', 'understand', 'information', 'an', 'excellent', 'tool', 'for', 'anyone']","['lot', 'valuable', 'easy', 'understand', 'information', 'excellent', 'tool', 'anyone']","['lot', 'valuabl', 'easi', 'understand', 'inform', 'excel', 'tool', 'anyon']","['lot', 'valuable', 'easy', 'understand', 'information', 'excellent', 'tool', 'anyone']"
1308,positive,Very informative and helpful! Easy to use.,Very informative and helpful Easy to use,"['very', 'informative', 'and', 'helpful', 'easy', 'to', 'use']","['informative', 'helpful', 'easy', 'use']","['inform', 'help', 'easi', 'use']","['informative', 'helpful', 'easy', 'use']"
1309,positive,As a red cross volunteer I like this app to help me understand this more super,As a red cross volunteer I like this app to help me understand this more super,"['as', 'a', 'red', 'cross', 'volunteer', 'i', 'like', 'this', 'app', 'to', 'help', 'me', 'understand', 'this', 'more', 'super']","['red', 'cross', 'volunteer', 'like', 'app', 'help', 'understand', 'super']","['red', 'cross', 'volunt', 'like', 'app', 'help', 'understand', 'super']","['red', 'cross', 'volunteer', 'like', 'app', 'help', 'understand', 'super']"
1310,positive,Definitely think its a must have.,Definitely think its a must have,"['definitely', 'think', 'its', 'a', 'must', 'have']","['definitely', 'think', 'must']","['definit', 'think', 'must']","['definitely', 'think', 'must']"
1311,neutral,Ooh!!!!!!!Â¡!!!!!!!!Â¡!!!!!!,OohÂ¡Â¡,"['oohâ', 'â', '']","['oohâ', 'â', '']","['oohâ', 'â', '']","['oohâ', 'â', '']"
1312,positive,So glad to finally have this on my phone. More quizzes please!!!!,So glad to finally have this on my phone More quizzes please,"['so', 'glad', 'to', 'finally', 'have', 'this', 'on', 'my', 'phone', 'more', 'quizzes', 'please']","['glad', 'finally', 'phone', 'quizzes', 'please']","['glad', 'final', 'phone', 'quizz', 'pleas']","['glad', 'finally', 'phone', 'quiz', 'please']"
1313,neutral,Everyone should have this app,Everyone should have this app,"['everyone', 'should', 'have', 'this', 'app']","['everyone', 'app']","['everyon', 'app']","['everyone', 'app']"
1314,positive,Excellent work my brothers.we salute you.because this application is very importent and more usefull.good job.thank you.,Excellent work my brotherswe salute youbecause this application is very importent and more usefullgood jobthank you,"['excellent', 'work', 'my', 'brotherswe', 'salute', 'youbecause', 'this', 'application', 'is', 'very', 'importent', 'and', 'more', 'usefullgood', 'jobthank', 'you']","['excellent', 'work', 'brotherswe', 'salute', 'youbecause', 'application', 'importent', 'usefullgood', 'jobthank']","['excel', 'work', 'brothersw', 'salut', 'youbecaus', 'applic', 'import', 'usefullgood', 'jobthank']","['excellent', 'work', 'brotherswe', 'salute', 'youbecause', 'application', 'importent', 'usefullgood', 'jobthank']"
1315,positive,It is verey helpful,It is verey helpful,"['it', 'is', 'verey', 'helpful']","['verey', 'helpful']","['verey', 'help']","['verey', 'helpful']"
1316,neutral,"Goood one!!!!""",Goood one,"['goood', 'one']","['goood', 'one']","['goood', 'one']","['goood', 'one']"
1317,positive,This app is very helpful for those learning first aid! It's also handy when there is an emergency and you need to be briefed on a particular skill!!,This app is very helpful for those learning first aid Its also handy when there is an emergency and you need to be briefed on a particular skill,"['this', 'app', 'is', 'very', 'helpful', 'for', 'those', 'learning', 'first', 'aid', 'its', 'also', 'handy', 'when', 'there', 'is', 'an', 'emergency', 'and', 'you', 'need', 'to', 'be', 'briefed', 'on', 'a', 'particular', 'skill']","['app', 'helpful', 'learning', 'first', 'aid', 'also', 'handy', 'emergency', 'need', 'briefed', 'particular', 'skill']","['app', 'help', 'learn', 'first', 'aid', 'also', 'handi', 'emerg', 'need', 'brief', 'particular', 'skill']","['app', 'helpful', 'learning', 'first', 'aid', 'also', 'handy', 'emergency', 'need', 'briefed', 'particular', 'skill']"
1318,positive,Love it. Very helpful,Love it Very helpful,"['love', 'it', 'very', 'helpful']","['love', 'helpful']","['love', 'help']","['love', 'helpful']"
1319,neutral,Muy buena...,Muy buena,"['muy', 'buena']","['muy', 'buena']","['muy', 'buena']","['muy', 'buena']"
1320,positive,I haven't had to use any of the advise from this app yet but I'm very glad I have it at my fingertips. I also really like the teaching things.,I havent had to use any of the advise from this app yet but Im very glad I have it at my fingertips I also really like the teaching things,"['i', 'havent', 'had', 'to', 'use', 'any', 'of', 'the', 'advise', 'from', 'this', 'app', 'yet', 'but', 'im', 'very', 'glad', 'i', 'have', 'it', 'at', 'my', 'fingertips', 'i', 'also', 'really', 'like', 'the', 'teaching', 'things']","['havent', 'use', 'advise', 'app', 'yet', 'im', 'glad', 'fingertips', 'also', 'really', 'like', 'teaching', 'things']","['havent', 'use', 'advis', 'app', 'yet', 'im', 'glad', 'fingertip', 'also', 'realli', 'like', 'teach', 'thing']","['havent', 'use', 'advise', 'app', 'yet', 'im', 'glad', 'fingertip', 'also', 'really', 'like', 'teaching', 'thing']"
1321,positive,Great info. Very helpful,Great info Very helpful,"['great', 'info', 'very', 'helpful']","['great', 'info', 'helpful']","['great', 'info', 'help']","['great', 'info', 'helpful']"
1322,negative,It looks good and I would really want to use it but many parts of this app just aren't working like drag-and-drop in the quizzes. There are too many issues to list. It's just an absolute mess.,It looks good and I would really want to use it but many parts of this app just arent working like draganddrop in the quizzes There are too many issues to list Its just an absolute mess,"['it', 'looks', 'good', 'and', 'i', 'would', 'really', 'want', 'to', 'use', 'it', 'but', 'many', 'parts', 'of', 'this', 'app', 'just', 'arent', 'working', 'like', 'draganddrop', 'in', 'the', 'quizzes', 'there', 'are', 'too', 'many', 'issues', 'to', 'list', 'its', 'just', 'an', 'absolute', 'mess']","['looks', 'good', 'would', 'really', 'want', 'use', 'many', 'parts', 'app', 'arent', 'working', 'like', 'draganddrop', 'quizzes', 'many', 'issues', 'list', 'absolute', 'mess']","['look', 'good', 'would', 'realli', 'want', 'use', 'mani', 'part', 'app', 'arent', 'work', 'like', 'draganddrop', 'quizz', 'mani', 'issu', 'list', 'absolut', 'mess']","['look', 'good', 'would', 'really', 'want', 'use', 'many', 'part', 'app', 'arent', 'working', 'like', 'draganddrop', 'quiz', 'many', 'issue', 'list', 'absolute', 'mess']"
1323,positive,Can never have too much safety knowledge,Can never have too much safety knowledge,"['can', 'never', 'have', 'too', 'much', 'safety', 'knowledge']","['never', 'much', 'safety', 'knowledge']","['never', 'much', 'safeti', 'knowledg']","['never', 'much', 'safety', 'knowledge']"
1324,neutral,Must have app,Must have app,"['must', 'have', 'app']","['must', 'app']","['must', 'app']","['must', 'app']"
1325,negative,"The app is a must have like a smoke alarm in a home. Everyone needs to familiarise themselves with a fast first aid solution. My father got in an accident this summer, this app help notice that he had broken ribs (this is a man that is known to ""walk of"" serious injures)",The app is a must have like a smoke alarm in a home Everyone needs to familiarise themselves with a fast first aid solution My father got in an accident this summer this app help notice that he had broken ribs this is a man that is known to walk of serious injures,"['the', 'app', 'is', 'a', 'must', 'have', 'like', 'a', 'smoke', 'alarm', 'in', 'a', 'home', 'everyone', 'needs', 'to', 'familiarise', 'themselves', 'with', 'a', 'fast', 'first', 'aid', 'solution', 'my', 'father', 'got', 'in', 'an', 'accident', 'this', 'summer', 'this', 'app', 'help', 'notice', 'that', 'he', 'had', 'broken', 'ribs', 'this', 'is', 'a', 'man', 'that', 'is', 'known', 'to', 'walk', 'of', 'serious', 'injures']","['app', 'must', 'like', 'smoke', 'alarm', 'home', 'everyone', 'needs', 'familiarise', 'fast', 'first', 'aid', 'solution', 'father', 'got', 'accident', 'summer', 'app', 'help', 'notice', 'broken', 'ribs', 'man', 'known', 'walk', 'serious', 'injures']","['app', 'must', 'like', 'smoke', 'alarm', 'home', 'everyon', 'need', 'familiaris', 'fast', 'first', 'aid', 'solut', 'father', 'got', 'accid', 'summer', 'app', 'help', 'notic', 'broken', 'rib', 'man', 'known', 'walk', 'seriou', 'injur']","['app', 'must', 'like', 'smoke', 'alarm', 'home', 'everyone', 'need', 'familiarise', 'fast', 'first', 'aid', 'solution', 'father', 'got', 'accident', 'summer', 'app', 'help', 'notice', 'broken', 'rib', 'man', 'known', 'walk', 'serious', 'injures']"
1326,negative,Everyone should have this app to obtain the basics of first aid in emergency cases .,Everyone should have this app to obtain the basics of first aid in emergency cases ,"['everyone', 'should', 'have', 'this', 'app', 'to', 'obtain', 'the', 'basics', 'of', 'first', 'aid', 'in', 'emergency', 'cases', '']","['everyone', 'app', 'obtain', 'basics', 'first', 'aid', 'emergency', 'cases', '']","['everyon', 'app', 'obtain', 'basic', 'first', 'aid', 'emerg', 'case', '']","['everyone', 'app', 'obtain', 'basic', 'first', 'aid', 'emergency', 'case', '']"
1327,positive,I am a Certified Instructor for American Red Cross. This app allows me go refresh myself anytime so I'm good to teach the students in my classes.,I am a Certified Instructor for American Red Cross This app allows me go refresh myself anytime so Im good to teach the students in my classes,"['i', 'am', 'a', 'certified', 'instructor', 'for', 'american', 'red', 'cross', 'this', 'app', 'allows', 'me', 'go', 'refresh', 'myself', 'anytime', 'so', 'im', 'good', 'to', 'teach', 'the', 'students', 'in', 'my', 'classes']","['certified', 'instructor', 'american', 'red', 'cross', 'app', 'allows', 'go', 'refresh', 'anytime', 'im', 'good', 'teach', 'students', 'classes']","['certifi', 'instructor', 'american', 'red', 'cross', 'app', 'allow', 'go', 'refresh', 'anytim', 'im', 'good', 'teach', 'student', 'class']","['certified', 'instructor', 'american', 'red', 'cross', 'app', 'allows', 'go', 'refresh', 'anytime', 'im', 'good', 'teach', 'student', 'class']"
1328,positive,"This app is a great tool ,thank you American Red Cross for all you do.",This app is a great tool thank you American Red Cross for all you do,"['this', 'app', 'is', 'a', 'great', 'tool', 'thank', 'you', 'american', 'red', 'cross', 'for', 'all', 'you', 'do']","['app', 'great', 'tool', 'thank', 'american', 'red', 'cross']","['app', 'great', 'tool', 'thank', 'american', 'red', 'cross']","['app', 'great', 'tool', 'thank', 'american', 'red', 'cross']"
1329,positive,I love it its good to have in general great info,I love it its good to have in general great info,"['i', 'love', 'it', 'its', 'good', 'to', 'have', 'in', 'general', 'great', 'info']","['love', 'good', 'general', 'great', 'info']","['love', 'good', 'gener', 'great', 'info']","['love', 'good', 'general', 'great', 'info']"
1330,positive,Great!!!!!,Great,['great'],['great'],['great'],['great']
1331,positive,An important app everyone needs to have!!!!!,An important app everyone needs to have,"['an', 'important', 'app', 'everyone', 'needs', 'to', 'have']","['important', 'app', 'everyone', 'needs']","['import', 'app', 'everyon', 'need']","['important', 'app', 'everyone', 'need']"
1332,positive,Nice app to have & review just in case of....,Nice app to have  review just in case of,"['nice', 'app', 'to', 'have', 'review', 'just', 'in', 'case', 'of']","['nice', 'app', 'review', 'case']","['nice', 'app', 'review', 'case']","['nice', 'app', 'review', 'case']"
1333,positive,This is a great app to have.,This is a great app to have,"['this', 'is', 'a', 'great', 'app', 'to', 'have']","['great', 'app']","['great', 'app']","['great', 'app']"
1334,positive,very good but do i need my internet or will it work on the road ?,very good but do i need my internet or will it work on the road ,"['very', 'good', 'but', 'do', 'i', 'need', 'my', 'internet', 'or', 'will', 'it', 'work', 'on', 'the', 'road', '']","['good', 'need', 'internet', 'work', 'road', '']","['good', 'need', 'internet', 'work', 'road', '']","['good', 'need', 'internet', 'work', 'road', '']"
1335,positive,Highly recommend this app to any and every one!,Highly recommend this app to any and every one,"['highly', 'recommend', 'this', 'app', 'to', 'any', 'and', 'every', 'one']","['highly', 'recommend', 'app', 'every', 'one']","['highli', 'recommend', 'app', 'everi', 'one']","['highly', 'recommend', 'app', 'every', 'one']"
1336,positive,Very handy. Excellent app.,Very handy Excellent app,"['very', 'handy', 'excellent', 'app']","['handy', 'excellent', 'app']","['handi', 'excel', 'app']","['handy', 'excellent', 'app']"
1337,neutral,Every one should get app,Every one should get app,"['every', 'one', 'should', 'get', 'app']","['every', 'one', 'get', 'app']","['everi', 'one', 'get', 'app']","['every', 'one', 'get', 'app']"
1338,positive,Easy to use and understand. Many useful features and works great!,Easy to use and understand Many useful features and works great,"['easy', 'to', 'use', 'and', 'understand', 'many', 'useful', 'features', 'and', 'works', 'great']","['easy', 'use', 'understand', 'many', 'useful', 'features', 'works', 'great']","['easi', 'use', 'understand', 'mani', 'use', 'featur', 'work', 'great']","['easy', 'use', 'understand', 'many', 'useful', 'feature', 'work', 'great']"
1339,positive,Use it to be prepared.,Use it to be prepared,"['use', 'it', 'to', 'be', 'prepared']","['use', 'prepared']","['use', 'prepar']","['use', 'prepared']"
1340,positive,Great for first aid lerning,Great for first aid lerning,"['great', 'for', 'first', 'aid', 'lerning']","['great', 'first', 'aid', 'lerning']","['great', 'first', 'aid', 'lern']","['great', 'first', 'aid', 'lerning']"
1341,positive,My brother got stung by a bee and i didnt know what 2 do .it told me what 2 do:-) thanks!!!!,My brother got stung by a bee and i didnt know what 2 do it told me what 2 do thanks,"['my', 'brother', 'got', 'stung', 'by', 'a', 'bee', 'and', 'i', 'didnt', 'know', 'what', '2', 'do', 'it', 'told', 'me', 'what', '2', 'do', 'thanks']","['brother', 'got', 'stung', 'bee', 'didnt', 'know', '2', 'told', '2', 'thanks']","['brother', 'got', 'stung', 'bee', 'didnt', 'know', '2', 'told', '2', 'thank']","['brother', 'got', 'stung', 'bee', 'didnt', 'know', '2', 'told', '2', 'thanks']"
1342,positive,Great in any emergency and a great learning tool.,Great in any emergency and a great learning tool,"['great', 'in', 'any', 'emergency', 'and', 'a', 'great', 'learning', 'tool']","['great', 'emergency', 'great', 'learning', 'tool']","['great', 'emerg', 'great', 'learn', 'tool']","['great', 'emergency', 'great', 'learning', 'tool']"
1343,positive,Nice!,Nice,['nice'],['nice'],['nice'],['nice']
1344,positive,Excellent first aid. Very useful to study and take the tests over and over to be ready to help someone in need.,Excellent first aid Very useful to study and take the tests over and over to be ready to help someone in need,"['excellent', 'first', 'aid', 'very', 'useful', 'to', 'study', 'and', 'take', 'the', 'tests', 'over', 'and', 'over', 'to', 'be', 'ready', 'to', 'help', 'someone', 'in', 'need']","['excellent', 'first', 'aid', 'useful', 'study', 'take', 'tests', 'ready', 'help', 'someone', 'need']","['excel', 'first', 'aid', 'use', 'studi', 'take', 'test', 'readi', 'help', 'someon', 'need']","['excellent', 'first', 'aid', 'useful', 'study', 'take', 'test', 'ready', 'help', 'someone', 'need']"
1345,positive,Perfect in every way!,Perfect in every way,"['perfect', 'in', 'every', 'way']","['perfect', 'every', 'way']","['perfect', 'everi', 'way']","['perfect', 'every', 'way']"
1346,neutral,Comes in handy in class,Comes in handy in class,"['comes', 'in', 'handy', 'in', 'class']","['comes', 'handy', 'class']","['come', 'handi', 'class']","['come', 'handy', 'class']"
1347,neutral,5*,5,['5'],['5'],['5'],['5']
1348,positive,"Very nicely developed app, easy to find and learn anything one might need to know in home first aid",Very nicely developed app easy to find and learn anything one might need to know in home first aid,"['very', 'nicely', 'developed', 'app', 'easy', 'to', 'find', 'and', 'learn', 'anything', 'one', 'might', 'need', 'to', 'know', 'in', 'home', 'first', 'aid']","['nicely', 'developed', 'app', 'easy', 'find', 'learn', 'anything', 'one', 'might', 'need', 'know', 'home', 'first', 'aid']","['nice', 'develop', 'app', 'easi', 'find', 'learn', 'anyth', 'one', 'might', 'need', 'know', 'home', 'first', 'aid']","['nicely', 'developed', 'app', 'easy', 'find', 'learn', 'anything', 'one', 'might', 'need', 'know', 'home', 'first', 'aid']"
1349,positive,The information given was great as accidents happen i learn more about first aid and the tests it has keeps me on track on what i have to do,The information given was great as accidents happen i learn more about first aid and the tests it has keeps me on track on what i have to do,"['the', 'information', 'given', 'was', 'great', 'as', 'accidents', 'happen', 'i', 'learn', 'more', 'about', 'first', 'aid', 'and', 'the', 'tests', 'it', 'has', 'keeps', 'me', 'on', 'track', 'on', 'what', 'i', 'have', 'to', 'do']","['information', 'given', 'great', 'accidents', 'happen', 'learn', 'first', 'aid', 'tests', 'keeps', 'track']","['inform', 'given', 'great', 'accid', 'happen', 'learn', 'first', 'aid', 'test', 'keep', 'track']","['information', 'given', 'great', 'accident', 'happen', 'learn', 'first', 'aid', 'test', 'keep', 'track']"
1350,positive,Very useful in different situation,Very useful in different situation,"['very', 'useful', 'in', 'different', 'situation']","['useful', 'different', 'situation']","['use', 'differ', 'situat']","['useful', 'different', 'situation']"
1351,positive,Great resource,Great resource,"['great', 'resource']","['great', 'resource']","['great', 'resourc']","['great', 'resource']"
1352,positive,Its great app to have,Its great app to have,"['its', 'great', 'app', 'to', 'have']","['great', 'app']","['great', 'app']","['great', 'app']"
1353,neutral,You gotta try it,You gotta try it,"['you', 'gotta', 'try', 'it']","['gotta', 'try']","['gotta', 'tri']","['gotta', 'try']"
1354,positive,I'm 11 and I want to be a pharamedic,Im 11 and I want to be a pharamedic,"['im', '11', 'and', 'i', 'want', 'to', 'be', 'a', 'pharamedic']","['im', '11', 'want', 'pharamedic']","['im', '11', 'want', 'pharamed']","['im', '11', 'want', 'pharamedic']"
1355,neutral,Very Practical,Very Practical,"['very', 'practical']",['practical'],['practic'],['practical']
1356,positive,Great and very informative. Much better than St John's,Great and very informative Much better than St Johns,"['great', 'and', 'very', 'informative', 'much', 'better', 'than', 'st', 'johns']","['great', 'informative', 'much', 'better', 'st', 'johns']","['great', 'inform', 'much', 'better', 'st', 'john']","['great', 'informative', 'much', 'better', 'st', 'john']"
1357,neutral,Very handy. Added to children phones.,Very handy Added to children phones,"['very', 'handy', 'added', 'to', 'children', 'phones']","['handy', 'added', 'children', 'phones']","['handi', 'ad', 'children', 'phone']","['handy', 'added', 'child', 'phone']"
1358,positive,Great. It might save a life!,Great It might save a life,"['great', 'it', 'might', 'save', 'a', 'life']","['great', 'might', 'save', 'life']","['great', 'might', 'save', 'life']","['great', 'might', 'save', 'life']"
1359,positive,Very helpful. Thanks to the developers...good job!,Very helpful Thanks to the developersgood job,"['very', 'helpful', 'thanks', 'to', 'the', 'developersgood', 'job']","['helpful', 'thanks', 'developersgood', 'job']","['help', 'thank', 'developersgood', 'job']","['helpful', 'thanks', 'developersgood', 'job']"
1360,positive,Great app! !,Great app ,"['great', 'app', '']","['great', 'app', '']","['great', 'app', '']","['great', 'app', '']"
1361,positive,VERY IMPRESSIVE,VERY IMPRESSIVE,"['very', 'impressive']",['impressive'],['impress'],['impressive']
1362,positive,Very easy to understand,Very easy to understand,"['very', 'easy', 'to', 'understand']","['easy', 'understand']","['easi', 'understand']","['easy', 'understand']"
1363,neutral,CPR bandages not here,CPR bandages not here,"['cpr', 'bandages', 'not', 'here']","['cpr', 'bandages']","['cpr', 'bandag']","['cpr', 'bandage']"
1364,positive,A lot of info for many emergencies. Very very helpful!!!,A lot of info for many emergencies Very very helpful,"['a', 'lot', 'of', 'info', 'for', 'many', 'emergencies', 'very', 'very', 'helpful']","['lot', 'info', 'many', 'emergencies', 'helpful']","['lot', 'info', 'mani', 'emerg', 'help']","['lot', 'info', 'many', 'emergency', 'helpful']"
1365,positive,"Is very helpful I love it
It's d best :)","Is very helpful I love it
Its d best ","['is', 'very', 'helpful', 'i', 'love', 'it', 'its', 'd', 'best', '']","['helpful', 'love', 'best', '']","['help', 'love', 'best', '']","['helpful', 'love', 'best', '']"
1366,negative,This app provides training before someone gets hurt and can be used as a quick reference during a medical emergency.,This app provides training before someone gets hurt and can be used as a quick reference during a medical emergency,"['this', 'app', 'provides', 'training', 'before', 'someone', 'gets', 'hurt', 'and', 'can', 'be', 'used', 'as', 'a', 'quick', 'reference', 'during', 'a', 'medical', 'emergency']","['app', 'provides', 'training', 'someone', 'gets', 'hurt', 'used', 'quick', 'reference', 'medical', 'emergency']","['app', 'provid', 'train', 'someon', 'get', 'hurt', 'use', 'quick', 'refer', 'medic', 'emerg']","['app', 'provides', 'training', 'someone', 'get', 'hurt', 'used', 'quick', 'reference', 'medical', 'emergency']"
1367,positive,"Love this app. I tried the tests and surprisingly remembered most of my first aid skills from 6 years ago. If I ever need to use it, it could save a life.",Love this app I tried the tests and surprisingly remembered most of my first aid skills from 6 years ago If I ever need to use it it could save a life,"['love', 'this', 'app', 'i', 'tried', 'the', 'tests', 'and', 'surprisingly', 'remembered', 'most', 'of', 'my', 'first', 'aid', 'skills', 'from', '6', 'years', 'ago', 'if', 'i', 'ever', 'need', 'to', 'use', 'it', 'it', 'could', 'save', 'a', 'life']","['love', 'app', 'tried', 'tests', 'surprisingly', 'remembered', 'first', 'aid', 'skills', '6', 'years', 'ago', 'ever', 'need', 'use', 'could', 'save', 'life']","['love', 'app', 'tri', 'test', 'surprisingli', 'rememb', 'first', 'aid', 'skill', '6', 'year', 'ago', 'ever', 'need', 'use', 'could', 'save', 'life']","['love', 'app', 'tried', 'test', 'surprisingly', 'remembered', 'first', 'aid', 'skill', '6', 'year', 'ago', 'ever', 'need', 'use', 'could', 'save', 'life']"
1368,positive,Great. Everything you would expect from the red cross.,Great Everything you would expect from the red cross,"['great', 'everything', 'you', 'would', 'expect', 'from', 'the', 'red', 'cross']","['great', 'everything', 'would', 'expect', 'red', 'cross']","['great', 'everyth', 'would', 'expect', 'red', 'cross']","['great', 'everything', 'would', 'expect', 'red', 'cross']"
1369,positive,"It would be nice if it went more in depth but for what it is, it rocks. Thanks Red Cross!",It would be nice if it went more in depth but for what it is it rocks Thanks Red Cross,"['it', 'would', 'be', 'nice', 'if', 'it', 'went', 'more', 'in', 'depth', 'but', 'for', 'what', 'it', 'is', 'it', 'rocks', 'thanks', 'red', 'cross']","['would', 'nice', 'went', 'depth', 'rocks', 'thanks', 'red', 'cross']","['would', 'nice', 'went', 'depth', 'rock', 'thank', 'red', 'cross']","['would', 'nice', 'went', 'depth', 'rock', 'thanks', 'red', 'cross']"
1370,neutral,Period,Period,['period'],['period'],['period'],['period']
1371,negative,"One never knows when an emergency can happen, having this apparently handy could make a real difference.",One never knows when an emergency can happen having this apparently handy could make a real difference,"['one', 'never', 'knows', 'when', 'an', 'emergency', 'can', 'happen', 'having', 'this', 'apparently', 'handy', 'could', 'make', 'a', 'real', 'difference']","['one', 'never', 'knows', 'emergency', 'happen', 'apparently', 'handy', 'could', 'make', 'real', 'difference']","['one', 'never', 'know', 'emerg', 'happen', 'appar', 'handi', 'could', 'make', 'real', 'differ']","['one', 'never', 'know', 'emergency', 'happen', 'apparently', 'handy', 'could', 'make', 'real', 'difference']"
1372,positive,This is very good and usefull..,This is very good and usefull,"['this', 'is', 'very', 'good', 'and', 'usefull']","['good', 'usefull']","['good', 'useful']","['good', 'usefull']"
1373,positive,Very useful for emergencies perfect!!!,Very useful for emergencies perfect,"['very', 'useful', 'for', 'emergencies', 'perfect']","['useful', 'emergencies', 'perfect']","['use', 'emerg', 'perfect']","['useful', 'emergency', 'perfect']"
1374,neutral,Not working in my Nexus 7. Can't see any content.,Not working in my Nexus 7 Cant see any content,"['not', 'working', 'in', 'my', 'nexus', '7', 'cant', 'see', 'any', 'content']","['working', 'nexus', '7', 'cant', 'see', 'content']","['work', 'nexu', '7', 'cant', 'see', 'content']","['working', 'nexus', '7', 'cant', 'see', 'content']"
1375,negative,Shame on you. With so much data spying permissions I'm surprised you didn't ask for my bra and panty size too. Thanks but no thanks.,Shame on you With so much data spying permissions Im surprised you didnt ask for my bra and panty size too Thanks but no thanks,"['shame', 'on', 'you', 'with', 'so', 'much', 'data', 'spying', 'permissions', 'im', 'surprised', 'you', 'didnt', 'ask', 'for', 'my', 'bra', 'and', 'panty', 'size', 'too', 'thanks', 'but', 'no', 'thanks']","['shame', 'much', 'data', 'spying', 'permissions', 'im', 'surprised', 'didnt', 'ask', 'bra', 'panty', 'size', 'thanks', 'thanks']","['shame', 'much', 'data', 'spi', 'permiss', 'im', 'surpris', 'didnt', 'ask', 'bra', 'panti', 'size', 'thank', 'thank']","['shame', 'much', 'data', 'spying', 'permission', 'im', 'surprised', 'didnt', 'ask', 'bra', 'panty', 'size', 'thanks', 'thanks']"
1376,positive,"This is a great app to have for those ""O.M.G"" moments. Easy and to the point.",This is a great app to have for those OMG moments Easy and to the point,"['this', 'is', 'a', 'great', 'app', 'to', 'have', 'for', 'those', 'omg', 'moments', 'easy', 'and', 'to', 'the', 'point']","['great', 'app', 'omg', 'moments', 'easy', 'point']","['great', 'app', 'omg', 'moment', 'easi', 'point']","['great', 'app', 'omg', 'moment', 'easy', 'point']"
1377,positive,I love this app. I am a lifeguard and my jr guards are all required to have this app. Very helpful rather you're a professional or not. Must have...,I love this app I am a lifeguard and my jr guards are all required to have this app Very helpful rather youre a professional or not Must have,"['i', 'love', 'this', 'app', 'i', 'am', 'a', 'lifeguard', 'and', 'my', 'jr', 'guards', 'are', 'all', 'required', 'to', 'have', 'this', 'app', 'very', 'helpful', 'rather', 'youre', 'a', 'professional', 'or', 'not', 'must', 'have']","['love', 'app', 'lifeguard', 'jr', 'guards', 'required', 'app', 'helpful', 'rather', 'youre', 'professional', 'must']","['love', 'app', 'lifeguard', 'jr', 'guard', 'requir', 'app', 'help', 'rather', 'your', 'profession', 'must']","['love', 'app', 'lifeguard', 'jr', 'guard', 'required', 'app', 'helpful', 'rather', 'youre', 'professional', 'must']"
1378,positive,Very informative and user friendly,Very informative and user friendly,"['very', 'informative', 'and', 'user', 'friendly']","['informative', 'user', 'friendly']","['inform', 'user', 'friendli']","['informative', 'user', 'friendly']"
1379,positive,This is great. I have a 2 yr old aways hurting herself this app helps out alot,This is great I have a 2 yr old aways hurting herself this app helps out alot,"['this', 'is', 'great', 'i', 'have', 'a', '2', 'yr', 'old', 'aways', 'hurting', 'herself', 'this', 'app', 'helps', 'out', 'alot']","['great', '2', 'yr', 'old', 'aways', 'hurting', 'app', 'helps', 'alot']","['great', '2', 'yr', 'old', 'away', 'hurt', 'app', 'help', 'alot']","['great', '2', 'yr', 'old', 'aways', 'hurting', 'app', 'help', 'alot']"
1380,positive,Amazing!,Amazing,['amazing'],['amazing'],['amaz'],['amazing']
1381,positive,Ive been in law enforcement over 30 yrs and would have loved having this app earlier in my career! Definate need!!,Ive been in law enforcement over 30 yrs and would have loved having this app earlier in my career Definate need,"['ive', 'been', 'in', 'law', 'enforcement', 'over', '30', 'yrs', 'and', 'would', 'have', 'loved', 'having', 'this', 'app', 'earlier', 'in', 'my', 'career', 'definate', 'need']","['ive', 'law', 'enforcement', '30', 'yrs', 'would', 'loved', 'app', 'earlier', 'career', 'definate', 'need']","['ive', 'law', 'enforc', '30', 'yr', 'would', 'love', 'app', 'earlier', 'career', 'defin', 'need']","['ive', 'law', 'enforcement', '30', 'yr', 'would', 'loved', 'app', 'earlier', 'career', 'definate', 'need']"
1382,neutral,Must have app,Must have app,"['must', 'have', 'app']","['must', 'app']","['must', 'app']","['must', 'app']"
