,User Name,Review,Rating,Date of Review,sentiment
155,Viking Mark,"Great to see an app that truly is a serious emergency necessity and lifesaver should one need it, hopefully never; but it's there just in case👍🏼

Brilliant, Great & Terrific 🎉",5,2016-02-06,1
156,Sabrinarubini,"We are the ones that brought this concept to the emergency sector and government after Years of Meetings and emails,plane trips, selling our idea and procedure trying to get this concept through to 000. But instead they stole our time took our ideas and go ahead release there own!",1,2016-05-10,-1
157,Spacegirlrhonda,Love this app! It knows where you are even when you don't.,5,2013-12-05,1
158,urgrooveidodeeplydig,"Just downloaded this app so I was just checking it out at home and the map location is so wrong that it would cost someone their life.
 I mean, not just a couple of houses out, like a totally different road about 9 or 10 kilometres away !!!! Just so wrong!",1,2014-11-24,-1
159,Mira's um,"Stopped at an accident near Gembrook today. Used this app and despite telling the emergency phone operator the GPS coordinates, this did not help the operator to work out where we were. After a long conversation describing local landmarks the ambulance was finally dispatched. Disappointed.",1,2016-02-27,-1
160,kato79,Tried it to see if it would work and picked up my location straight away!!!!,4,2015-01-08,1
161,Monkeykai,App reports that I am on a particular road when I am in fact not. When I check on other services it shows my correct location. Would be dangerous if I reported the Emergecy plus location to 000.,1,2015-04-03,-1
162,"""Barking"" mad","Great app. But there should be a way in order to share and track location with 000 operator?
As in ""find iPhone"" type feature.",3,2015-10-16,1
163,C.evile,Long time coming... Idea is old!!! Good to have but may use once in a while.,5,2013-12-06,1
164,Co$mo,Battery drain on both iPad and Samsung very high could render useless in emergency this is due to gps  always on locating coordinates I guess,4,2016-01-25,-1
165,Finnigans92,"App has everything, this app is so valuable it could save Someone's life if not your own!
Well done Fire and Rescue NSW! :D",5,2014-07-19,1
166,GregFord81,Great app but needs locations of public access defibrillators on a map and maybe a metronome 100bpm,5,2014-09-04,1
167,Nuggs36,What an awesome App... I have only just downloaded it. But the fact it uses GPS is fantastic.... Well done to those involved..... 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,2013-12-06,1
168,TEKNOTRUCKER,"Excellent App but in a future update can you please include the nearest cross street, it's distance and direction? I usually get asked for that before GPS co-ordinates.",4,2014-01-28,1
169,Pales18964,Found my location in an instant. Very accurate and precise.,5,2015-07-29,0
170,Firery108,"Good app, something that should been round long before now.",5,2013-12-08,1
171,mcgmick,Funny... this app is strangely similar to the 'Call 000' app released months before - providing a Lat and Long and the ability to dial direct to 000 from the app itself. Works ok.,3,2013-12-30,1
172,Finchalicious,It's a must have must use. This app could save your life people! Use it!!,5,2013-12-06,1
173,Star gazer000,"Location is spot on. 
Great idea.?",5,2015-07-09,1
174,icekool15,Should be included as a default app.,5,2015-07-15,0
175,KIMBO1564,"I've just added the app on my iPhone and the location is not where I am, problem?",2,2014-04-10,-1
176,Tha Gav,"Every Aussie should have this on their smart phone!
Great app!",5,2015-01-18,1
177,Krisshead,I'm at a street address 200m from a station yet the app located me as being in an underground tunnel. I want precision in locality identification before I can confidently recommend use of this app to several hundred in my workplace.,1,2015-03-23,1
178,Snupples,The gps coordinates are no where close to my address. Think you need to address this issue,2,2014-04-27,-1
179,KezzaTattoo,Lucky I have never needed to use this - location is way off!!,2,2014-12-19,1
180,cathk999,Please add the number for the 24hour statewide Mental Health Line and the 24hr Poisons Information Centre. Then it will be 5 stars!!!!,4,2014-01-19,-1
181,Sanchezermc,Off by a house which could be a problem,2,2016-05-11,-1
182,Rwise12,Just downloaded the ap. I'm at home in a rural area. If I called emergency services and gave the location they named they would be sent to the middle of a farmers paddock 2km away.,1,2015-11-18,-1
183,South American Boy,The idea is old but would probably use it once. It's good incase of an emergency.,3,2013-12-07,1
184,Blondes //&,Street is correct house number is wrong rural area,3,2015-01-07,-1
185,Draino1982,Brilliant!,5,2013-12-08,1
186,taylorjayne_,"Tip top app, recommended at a tip top chat from a tip top bloke",5,2017-02-09,1
187,Cathy@Parkes,This app is very inaccurate regarding location. For my address it's 4 kms out. Dangerous. Can it be fixed please to be correct.,1,2015-09-19,-1
188,Need-a-list,"Recently speaking with a 000 operator friend about the App and the biggest issue they said is that the current 000 dispatch system apparently requires a street and nearest cross street for a dispatch. Like gps-coordinates.net the App needs to convert into an address and give nearest cross street or intersection! E.g. Display ""Great Eastern Highway, 300m North of Evans Street"" or ""Willy Rd, 200m South of High St"".  Most people attending an emergency aren't near home and haven't any idea of where or what the name of the nearest cross street is.  I know cause I had the same issue in the Blue Mountains once. Or make it that the 000 operator can gain a street address from the displayed Lat/Long and work out a cross street themselves.",3,2016-12-24,1
189,possum house,The recent update causes the app to crash,1,2016-11-29,-1
190,vinags,Excellent idea and we'll implemented.,5,2014-03-31,1
191,Lucyhatton202,The update freezes and nothing happens.😩😩😩,1,2017-06-27,-1
192,blowin1,App puts address as 3 kms from where I actually am.,1,2016-11-07,0
193,Key user,This is a life saving app. Well done....,5,2013-12-17,1
194,djdwyer,Where can I find out the price of this app?,1,2015-04-06,0
195,A Sleepy Drunk,Recommended by the legend himself Paul Dillon,5,2017-03-28,1
196,tarragindidoodie,Excellent,5,2018-03-09,1
197,dindindins,"App is frequently advertised by emergency services, however it has not been updated for 2 years and references the now non-existent ‘home button’ in the instructions. It also does not fit on the screen for an iPhone X and up (XR, XS, 11, etc).  

The phone numbers listed are also not in the recognised standard format, as per the ACMA Telco Numbering guidelines, which causes confusion. Ie: ‘13-2500’ is listed when it should be ‘132 500’. 

Lastly, GPS locations are not necessarily accurate as it uses A-GPS when inside (not GPS), which places me several hundred metres (and in the wrong address) to where I am actually located. Further, coords are presented in decimal degrees only. This is not compatible with all emergency service CAD systems, and should also be presented in decimal minutes and also UTM.

This app could be helpful, however in its current for it either needs to be updated or advertising by emergency services needs to cease.",2,2020-01-05,-1
198,Northshore11,Great app.  Another useful emergency contact number might be the Poisons Information Centre No. 13 11 26. Could be useful for sea-life/bush/home related emergencies....,5,2016-06-03,1
199,Di59,"Emergency+ lift your game, when I put my phone next to my partners he is accurate to 10 metres? But I am almost 14 and a half kilometres away! Emergency services would never find me.",1,2016-08-01,-1
200,Lost in the bush,"Location gets worse every time I turn it on. Currently accurate to 45252 metres, which is about how far wrong it is. Cannot recommend anyone should use this app.",2,2015-04-04,-1
