,Review,Rating,sentiment,Date of Review
549,Great app,5,1,2016-01-13
550,"Brings up correct position on map but lists the wrong adress. States im 10 houses away, around the corner and opposite side of the road! Im a rescue volunteer, these errors cost time and lives!",1,-1,2016-01-10
551,As a SES member I find it useful most of the time,4,1,2015-12-24
552,"It's a strange concept to download a app hoping to never need it, good on you developers for making this app",5,-1,2015-12-18
553,Very useful with all relevant information.,5,1,2015-12-13
554,Putty Rd is notorious for 2 things.  Limited phone coverage and motorcycle accidents.  This app helped to save a mates life last weekend,5,-1,2015-12-01
555,Great app but will not give my correct address how can I change my house number and unit number these are new unit block 10 months old.,4,-1,2015-12-01
556,Wont download on my Samsung galaxy  core?,3,0,2015-11-29
557,Awesome idea for an app. Very easy to use in emergency situations and non emergencys alike.,5,1,2015-11-25
558,had the care flight chopper land on our farm west of kingaroy... this app allowed the aircrew to find our property with pinpoint accuracy!,5,1,2015-11-12
559,"I've used this app in the bush with a single car roll-over and three young people, one heavily pregnant. Coordinates are the best way to direct help to any location! Thank you!",5,1,2015-11-11
560,Wildly swinging between 2 street names and numbers also the current name of street has been changed about 4 yrs ago Im in a c v park,1,0,2015-11-07
561,Excellent App credit to NSW Services,5,1,2015-11-04
562,"Used it a few times now, the only thing id like to see is the address your at displayed, while on the call to 000",5,1,2015-10-27
563,Very useful,5,1,2015-10-26
564,Throughly love and always recommend... Hope I never need to use it yet its there just in case... 😃👍💓💕💞💝💖💙,5,1,2015-10-13
565,When I tried to install it came up with failed error 194 not much help if I don't know what that is,1,-1,2015-10-10
566,Safety,5,1,2015-09-29
567,"This app has Police, Fire, Ambulance and SES. One thing that would be good to include, is Rescue. I am a NSW Rescue Operator and for people to have the option to contact Rescue, we could be responded a lot faster and have reliable details and locations provided by the app. Just a suggestion. Otherwise terrific app!",5,1,2015-09-22
568,Very pleased to find this available,4,1,2015-09-17
569,I like this app. Soo helpful,5,1,2015-09-16
570,I love this as a concept but at home it lists my location as across the road and 5 houses down! Would still be useful for outdoor / road based emergencies though.,3,1,2015-09-07
571,Sounds like a great idea,4,1,2015-09-05
572,Don't want to have to use it but this is an app that should be on all mobiles when you start them up. As a person who does long drives this is a must.,5,0,2015-09-05
573,This is a much needed application when you have a family member with a serious illness.  Thanks,5,0,2015-09-04
574,Brilliant. Takes the guess work out of trying to find out what the closest cross street is or where you actually are.,5,1,2015-09-04
575,I read about the app in the Take 5 magazine and downloaded it straight away. I have also told my daughters 20 & 18 to download it as well,4,1,2015-08-31
576,000,5,0,2015-08-30
577,"Address was close, but wrong (only has to be out by one house number, to end badly!). Given the serious nature of this app, close enough, isn't good enough- people's lives are at stake! If Google earth can get my address right, surely this app should be able to, as well!",3,-1,2015-08-28
578,"On an Xiaomi Redmi Note 1S, and on some other phones which are imported, Emergency+ isn't able to translate the GPS coordinates into a street address. The GPS coordinates are fast and accurate (within 10m or so), but the address part of the front screen is not filled in. Perhaps there is some API call that is required for it to work that is not available?  On the map screen, it continues to say ""(Address updated x seconds ago)"", but only displays the latitude and long coordiates.",4,-1,2015-08-16
579,Great,5,1,2015-08-13
580,Doesn't work on my galaxy S3,1,0,2015-08-13
581,Wonderful,5,1,2015-08-07
582,It's a matter of life and death when it comes to locating your exact location. This is a great creation for Everyone to install And Most of All it Gives Emergency services your Exact location without Delay or Confusion. Well Done To Emergency Services.,5,1,2015-08-06
583,Great app,5,1,2015-07-27
584,Long overdue. Excellent app,5,1,2015-07-24
585,"Brilliant idea, especially when travelling through unfamiliar places!",5,1,2015-07-16
586,Very important for children's phones,5,1,2015-07-16
587,If I ever got lost its reassuring to know that I could be found by emergency services.,5,-1,2015-07-15
588,Incorrect house number,1,1,2015-07-14
589,Everyone should have this APP,5,0,2015-07-14
590,Very helpful but my address is not correct,5,1,2015-07-14
591,A very handy app everyone should have,5,0,2015-07-13
592,"I've been getting Seniors & Grey Nomads to add this essential app to their phones for 18 months now. It's so simple for anyone to use. In my view every phone in Australia should have this preloaded, along with the Red Cross app and, in Victoria, the Fire Ready app.",5,1,2015-07-08
593,For emergencies only,5,0,2015-07-05
594,Love it,5,1,2015-06-25
595,I think this is a brilliant app & have told all my family & friends to use it.,5,1,2015-06-18
596,This is extremely valuable. Good job,5,1,2015-06-17
597,I encourage as a St Johns Ambulance volunteer that everyone install this,5,1,2015-06-15
598,Cannot use. Crashed upon opening,1,0,2015-06-15
599,Always have help at hand.,5,1,2015-06-09
600,Sounds promising but I hope I never need to use it. I am concerned and need to know why it requests access to my photos. Why?,3,1,2015-06-06
601,A great app will help out a lot in an emergency. My only concern is you can't get an address if your mobile data is off. GPS coordinate still work but if an address would be more useful,4,1,2015-06-02
602,Is it possible to add the Poison Information Helpline (13 11 26) in the list?,4,-1,2015-05-30
603,I always think that if I saw something I probably wouldn't really know where I  am,5,0,2015-05-30
604,Location that comes up is about 35 km from our actual location. Useless!,1,-1,2015-05-10
605,Emergency[,5,-1,2015-05-08
606,Great app,5,1,2015-04-25
607,For emergencies.,5,0,2015-04-21
608,A must for everyone to have on their phone just in case!!!,5,0,2015-04-21
609,"All P platers, or kids who walk or ride to school, should have this app in their smart phone",5,1,2015-04-19
610,What is the Photos/Media/Files permission used for?,4,0,2015-04-06
611,google maps has my home address wrong,4,-1,2015-03-31
612,Makes good sense.,5,1,2015-03-25
613,Emergency+ app,5,-1,2015-02-24
614,This app is something I would have thought someone would have made years ago. It's such a brilliant idea,5,1,2015-02-14
615,"When needing help in serious situation, best App available",5,1,2015-02-10
616,Great tool thank you,5,1,2015-02-04
617,The best way to be found if you need to be found when you are geographicly incapasitated,5,1,2015-01-29
618,Good,5,1,2015-01-28
619,Great idea!!!,5,1,2015-01-21
620,"This app does exactly what it's meant to. A must install for everyone... who knows,  it may even save a life!",5,1,2015-01-20
621,"Everyone should have this, but developers are unresponsive.  Badly needs two improvements: 1. The GPS coordinates and address need to be in a larger font so those with aging eyesight can read it. 2. Should be able to SMS GPS coordinates and address to my own emergency contacts. Reason is simple: poor signal sometimes prevents voice calls but SMS gets through.",4,-1,2015-01-10
622,"I am in my home and it had wrong street number, out by 6 houses.",3,-1,2015-01-09
623,When I'm at the back of my house it picks my neighbour behind me address,2,0,2015-01-07
624,Gives Emergency Services the details they need to find you if it becomes necessary - hopefully it never does,5,0,2015-01-07
625,Simple and effective but has not try it in an emergency,5,-1,2015-01-06
626,Gps turns off when exiting the app now,5,0,2015-01-01
627,Works great on various phones in family but cannot install on new Samsung Galaxy Tab S 8.4 tablet which has GPS and full phone capability via installed  SIM card.,3,1,2015-01-01
628,Using lot numbers not street number. Very confusing. Also needs ability to send info to your own personal emergency contacts.,3,-1,2014-12-21
629,"Excellent app, should be installed on all mobiles!",4,1,2014-12-20
630,"This simple yet potentially very effective app' has one major flaw: it must rely on the GPS of the smartphone in which it is installed. In the last few minutes I have apparently moved 750m, without actually changing my location. I would urge caution in declaring your position from the given GPS location, especially if in a building.",4,1,2014-12-19
631,Good for bushfire season,4,1,2014-12-18
632,How about adding the poisons information phone number as well?,4,-1,2014-12-17
633,We all need this app on our  phone's,5,0,2014-12-16
634,Very good app especially on farm use.  But one major concern.  Address is not correct.   How old is the info for addresses?   Is there anyway they can be updated?  Why isn't local Council address data  base used for example?,4,1,2014-12-16
635,Good idea. Looks good. Gps coordinates correct however physical street location is wrong. Writren as the next street over despite the map clearly showing the exact right address,3,1,2014-12-13
636,Emergency,5,-1,2014-12-13
637,"Lucky this app is free. Idea was good app is bad. If the closest that the GPS on this app can get is within 850 metres of your location you are wasting time downloading it. To have full functionality this app must be able to ""turn on the GPS or remind the user to turn it on otherwise the location function is useless"".",1,0,2014-12-12
638,Has been needed for a while but hope we never have to use it,5,1,2014-12-11
639,A fantastic aid for or people who get lost in remote locations or for dementia patients who find themselves disoriented.,5,-1,2014-12-11
640,We ride motor bikes and often not on a main Rd.  A great comfort to have this app,5,1,2014-12-10
641,Emergancy plus,5,0,2014-12-10
642,Great idea for people living on their own.,5,1,2014-12-10
643,Should be compulsory for all smart phones.,5,1,2014-12-10
644,"Excellent application,  should be standard on all Australian sold mobile phones.",5,1,2014-12-10
645,Awesome idea. Thanks to our emergency service personal,5,1,2014-12-10
646,Relevant my age,5,0,2014-12-10
647,Great app,5,1,2014-12-09
648,When you are trying to provide first aid it can be stressful enough without having to remember exactly where you are. This takes the guesswork out of it. Have used it in two real-life situations and it was great.,5,1,2014-12-07
649,Also wanted one where could add personal details such as next of kin book the social security number reward if find phone etc,2,1,2014-11-23
650,But location is about 2kms out.,3,0,2014-11-21
651,"App looks great, however it shows my location in the correct spot on the map, but displays an address in the next street over. If I was not familiar with my current location, this could be the difference between getting help quickley, or having services turn up to the wrong place.",3,1,2014-11-20
652,Needs an update to turn of GPS after exit its a real battery drain,3,0,2014-11-08
653,Everyone should install this app in their phones especially in our childrens phones.,4,0,2014-11-03
654,"Fantastic idea ,but the app rips through the battery power. If this can be fixed then 5 stars.",3,1,2014-11-03
655,Hope this will help me!,4,1,2014-11-02
656,But im in Victoria not N.s.w maybe each state should have there own,3,0,2014-11-02
657,Any reason why the phone number for the Poisons Information Centre isn't included in National Numbers? How does one give feedback or make suggestions for this product other than this review? Map showing nearest medical facility to ur location might be helpful for non locals.,3,-1,2014-11-01
658,Saved my freinds dad's life,5,1,2014-10-31
659,"Seriously fix the battery, I have to manually crash the app to stop the life being sucked out of phone",1,-1,2014-10-30
660,The best app so far for any emergency. thumbs up!,5,1,2014-10-18
661,Emergency,5,-1,2014-10-01
662,I've able all gps on my samsung G3 4G and samsung s5 and its found my location correctly. Well done. Keep up the great  work,5,1,2014-09-24
663,Gives your location to emergency services in case you have an accident etc.,5,-1,2014-09-13
664,You never know when you may need it for yourself or to help someone else. I recommend this app.,5,1,2014-08-16
665,I hope I never need it but am thankful I have it,5,1,2014-08-14
666,"The first page shows your location, according to this app I was somewhere in a completely different street. Uninstalled.",1,0,2014-08-14
667,seems like a gr8 app and as a qas first responder it would of been very useful here in our rural township and surrounds but alas after installing on 2 diff phones the app froze on both phones and kept constantly turning my Samsung on and off. wat a shame. blessings,3,1,2014-07-22
668,Easy to use and accurate,5,1,2014-07-22
669,"Works flawlessly, really impressive. Glad it's free",5,1,2014-07-07
670,"Will uninstall if they are True Blue, increasing their kill scores!",1,-1,2014-06-30
671,Poisons information number  could be worthwhile,5,-1,2014-06-24
672,Everyone should have this app on their device. It will save lives,5,1,2014-06-22
673,Good but address was about a kilometer out when I had to use it plus drained my battery,3,-1,2014-06-22
674,Very handy,5,0,2014-06-19
675,It tells me I'm 3 streets away from where I actually am... have tried turning it off then back on again and still the same,1,0,2014-06-08
676,Especially the coordinates automatically turned on. A copy/paste of the coordinates would be good so it can be texted,5,1,2014-06-04
677,Works,5,0,2014-06-04
678,"This keeps the GPS running long after exiting, killing battery life... in an emergency, a flat battery might be critical. Fix that and it'll be perfect.  Workaround (easy): close the app from the ""recent apps"" menu.  Workaround (advanced): if you use Tasker, create an exit task to completely kill the app when it's closed. That stops the background process running.",3,-1,2014-05-31
679,"It is good, but the GPS needs to be turned off after it has an accurate location fix. Murphys law says that you will need the app when the battery is low. If the GPS stays on, then it won't be long before the phone dies. And that could mean more than just the phone!! . It also needs the ability to turn the GPS on like the 'find my phone' apps. . It needs a large widget so it can be placed on a home screen, and be readily accessible if It's needed. . bugger, ran out of characters....",4,1,2014-05-14
680,It would be ideal if the GPS got your exact address right and not your previous address.  Its no good if you wasn't able to communicate and you were depending on it.Just uninstalled it.,1,1,2014-04-10
681,Power management issues,1,0,2014-04-05
682,Fantastic app,5,1,2014-04-03
683,"Clear, concise and a must have.",5,1,2014-03-22
684,"The apps layout, functionality and over all idea is great.. could be a very handy app..  GPS accuracy is off! I've tried multiple locations, time's of day, reinstalled the app.. pin points my location no closer then 3 blocks away even with every possible gps option selected on my phone.. google maps at least places a dot next door. Possibly fine tune that? But as said, great app otherwise.  I understand I might be the only one with this issue.",4,1,2014-03-11
685,No review COmment,5,-1,2014-03-07
686,Essential app that I hope I never get to use,5,1,2014-03-05
687,"Fantastic concept BUT everyone needs to carry either:- (1) a spare battery, or (2) a connectivity cable to charge the phone.  The App drinks more gas from my battery than a Ferrari at full throttle.  The battery drain makes the App useless as you can't turn it on/off at will and conserve power until it's needed.  The IT developers really need to take a look at why is is so power draining.  As for a RATING I rate the concept as 5* battery drain MINUS 5",1,-1,2014-03-01
688,"However, its true what others are saying, this drains my battery in about 3 hours since installing. Please stop it constantly using the gps. I have to kill the process to stop it.",1,-1,2014-02-26
689,I will change the rating to 5 stars when the app closes the GPS on exit every time I exit it.  On my HTC One it usually does not.  I don't think it is a problem on iPhones but it needs fixing.  Otherwise it is a brilliant app.  In an emergency I would forget to check the GPS and end up with a flat battery when I need it most.,3,-1,2014-02-15
690,No review COmment,5,-1,2014-02-15
691,Good app,5,1,2014-02-11
692,Why don't all smartphones sold in Australia come with this Pre-Loaded ???,5,0,2014-02-09
693,Worth while,5,1,2014-02-03
694,"Would be good to include a function where you could quickly send your coordinates to next of kin, trusted friend etc.",4,1,2014-01-21
695,"First time opened, it showed pinpoint accuracy with the GPS function on my Samsung Galaxy s4",5,0,2014-01-21
696,"Update. Tried to use the GPS location on the app to tell NRMA where I had broken down. GPS had me on the wrong road and had the NRMA turn up to the wrong location. Hate to think if it had been life or death.  I have use the GPS on my phone with other apps and they were a lot more precise. Besides fixing the GPS issue, a suggested improvement would be to have the GPS give you the details of the Local Area Command you are in and give you a phone number to the relevant station.",2,-1,2014-01-18
697,"Location correct to 10m on 3G & GPS, 10m on WiFi & GPS and 3m on GPS only. A handy app which I hope I never have to use, but will be nice to know it's there when I'm out bushwalking",5,1,2014-01-17
698,Tried installing twice. Didn't work.,1,0,2014-01-17
699,I've tried multiple installs/uninstalls but it crashes every time I try to open it. Obviously no one has bothered to fix the bugs that people have been reporting since it first came out.,1,-1,2014-01-13
700,Great Idea to assist in the issues of emergency support,5,1,2014-01-10
701,"I saw the app and thought it was a great idea, so I downloaded it and tried opening it on my Galaxy Ace Plus. All I copped was that there was an error and that I had to close it. This happened the next few times that I tried to open it. I hope the developers actually read these because they need to fix this problem. An app like this isn't much use at all if I can't even open it!",1,1,2014-01-10
702,Address house number not real accurate but good if you have no idea of where you are to start with and maybe have poisons info number as well,4,-1,2014-01-09
703,"Free, easy to use and you never know when you may need it.",4,1,2014-01-08
704,Wont even open in my android mototola.,1,0,2014-01-08
705,HTC Desire. App crashes every time I try to open.,1,1,2014-01-08
706,"Won't open, force closes on my HTC Desire.",1,1,2014-01-07
707,Very usful app,5,0,2014-01-04
708,One app I hope I never have a need to use. Logged on in several parts of the city and every time it is pinpoint accurate with my location and address. Peace of mind.,5,1,2013-12-30
709,I had app for 4 hours in standby. It depleted the nexus 5 batt from 70% yet android system deemed it low batt use. But the batt use app states massive battery drain. Please fix.,1,1,2013-12-28
710,Thanks Marko,5,1,2013-12-24
711,Just what travellers need,5,0,2013-12-21
712,Great application. Will recommend to friends and families.,5,1,2013-12-18
713,Great idea for an app. However its showing my location as 4-5km to the west of where I really am with gps enabled. Fyi when I went into my maps app it showed my correct location so it wasnt my phone playing up.,4,1,2013-12-17
714,"Would be great if Deaf people can use it,  or a modified version be available for SMS texting mobile phone user's coordinates.",3,1,2013-12-14
715,Shows my location 3234m away. Thats ridiculous not even close.  NOT GOOD ENOUGH,1,-1,2013-12-14
716,Everytime I go to open it the app crashes. So I can't use it at all,1,0,2013-12-14
717,Best with WiFi or GPS turned on but pretty accurate locations.,5,1,2013-12-14
718,This is an incredibly useful app. However GPS not always correct but if you turn WiFi on it picks up a signal it can better determine your location (obviously will only work in suburbia and near houses with wireless internet) this will app will hopefully provide easier response for emergency services and make telephonist's jobs slightly easier. Stay relevant stay on the line and always give contact details for DISPATCHERS to call if emergency services can't locate you or the emergency scene. It does happen.,5,1,2013-12-11
719,"I would like to say it works well but I hope never comes to that , but it is a great idea and easy to use well done.",5,1,2013-12-11
720,Wonderful and useful application keep up the good work,5,1,2013-12-10
721,Much needed app that everyone should have.  I wonder if it could be enhanced to send a SMS with the location at the time of the call?,5,0,2013-12-10
722,So many updates in 2 days uninstalled....just ring 000 and give em your number to triangulate,1,1,2013-12-10
723,"Good idea, but NSW based.  I'll try it again, maybe, when it goes national.",1,1,2013-12-10
724,"The app crashes on start, I got it mostly to see how accurate the GPS was to my Garmin GPS handheld.  But since it wont run on my Android phone, I guess I cant test it.  Lost 4 stars for the crashing.",1,1,2013-12-09
725,"Excellent!  Address shows my neighbour's, but I suppose that is good enough for the purpose of make an emergency call.  Will be even better if it can be launched from locked screen without unlocking the phone, so anyone can pick up the phone and use the features.",5,1,2013-12-09
726,The map was slighlty off.  But soon as the GPS came on the map was accurate. Highly recommended to anyine traveling.,4,1,2013-12-09
727,Best apps most most useful well done keep up the good work guy's,5,1,2013-12-09
728,Seriously...,1,-1,2013-12-09
729,WTF?,3,-1,2013-12-09
730,Gps is a little off but otherwise this app has the potential to save a lot of people.,4,1,2013-12-09
731,"A few streets off with the gps location, but the idea is great.  Thanks vicpol for letting us know.",3,1,2013-12-09
732,"Seems Ok but can't set (correct) location from map, hopefully GPS cood automatically forwarded via data or SMS when actually making call.",4,1,2013-12-09
733,"Read about his app in the weekend newspaper. Had trouble locating it. A search in Google Play does bring it up. Found the app via a search engine. Installed the app. It opens, but closes unexpectably. Have tried it several times; each time it crashes. Samsung Galaxy Ace Plus phone.",1,0,2013-12-08
734,A great idea for anyone really ..all phones should have this app as standard,5,1,2013-12-08
735,"This is a great idea and i really love it, but the gps isnt perfect on mine. The address it is located on, is atleast a 10 minute drive away from my address im at. If you can fix the gps on it, it would be perfect. Love the concept of it though! I will definitely keep it downloaded just incase.",4,1,2013-12-08
736,This app just refuses to start.  What do I do call 000,1,0,2013-12-08
737,"Continues to access GPS after exiting the app, then crashes if the GPS is turned off.",3,0,2013-12-08
738,Great app but had to uninstall from my Nexus 5 as it was a massive battery drain...,2,1,2013-12-08
739,"Not working on my Samsung Ace phone,hope to find out why?  soon",2,0,2013-12-07
740,Unfortunately it doesnt work on a sumsung s2. Crashes everytime you open it.	Unfortunately it doesnt work on a sumsung s2. Crashes everytime you open it.,1,-1,2013-12-07
741,Fantastic! Gives location and you can call the appropriate service directly from the app.,5,1,2013-12-07
742,"Instantly displays current street address. Very useful for Police Officers, to call in the address of an unexpected traffic stop in an unfamiliar neighborhood.",5,1,2013-12-07
743,"What a great idea, I hope I never need it, but to have the numbers and my location handy, it will be a lifesaver",5,1,2013-12-07
744,"Very good idea, though I would suggest not giving street name and number until gps accuracy reaches a minimum level, to avoid emergency services going to the wrong address",5,-1,2013-12-07
745,Need ability to SMS the Lat Long details for times when you can only text  information or when you have a weak signal,3,-1,2013-12-06
746,Brilliant idea!!,5,1,2013-12-06
747,Please add feature that enables you to send your location/google map link to pre specified mobile number/s in case your phone is running low on baytery and can only get a text out,5,1,2013-12-06
748,"Great, about time this was bought out, great idea",5,1,2013-12-06
749,Looks good. Nice clean interface. I've put it on my phone and my kids phones and I'd recommend others do likewise. Would be nice if there were a way to test it without an actual emergency happening but probably not really feasible. I'll assume the links to dial the numbers work ok.,5,1,2013-12-06
750,Though there are a few major flaws. There is no user prompt to turn on Location Services (GPS/WiFi) meaning you will end up with an accuracy of ~2km instead of <20m. You also have to force close the app in order to end it as it will keep GPS on if you don't.,2,-1,2013-12-05
751,But works better if you have wifi as well as gps turned on. It had my location as being next door to where I was.,5,1,2013-12-05
752,"Hope that this is the ""bomb""!  Thank you WA Police for letting me know about it.",3,1,2013-12-05
753,"Love this app and especially the addition of W3W. Would be awesome to have this as a widget to always show your location and also watch integration so you can have a complication on the Home Screen showing what three words locations for people hiking, exercising etc. easy way to get the information when you’re already on the phone is to raise your wrist.",4,1,2020-11-08
754,"I recently loaded this app onto the shortcut screen of our family phones (mainly for the kids) with the expectation that I would never end up using it. 
This weekend, we had a fire in our garage where my husband was trapped and our garage door bolted closed, our home phone was out due to no power (thanks NBN) and I was trying to get my husband free. I called for the kids to evacuated and call emergency, with their shock they couldn’t find their phone so I grabbed mine.  Using this app took the frustration out of trying to find and open the phone app, get onto the call screen and dial emergency services. All I had to do was click the app, hit call then confirm -
It was extremely responsive and I managed this one handed while trying to move furniture and unbolt a door.
Fortunately all worked out well, emergency services arrived and everyone was safe. 
A brilliant app.",5,-1,2019-06-04
755,I have used and promoted this since its inception as emergency +. I brought F&R NSW and Microsoft Australia together to port the application to the Windows phone store. I always thought the app could store GPS coordinates so if really remote you could take them to a location with coverage to give the exact to 000. It seems it does not but it should. At present I would need to take a photo and then get the coordinates from the EXIF metadata. A long way around and only IT nerds would think to do this. Can we please have a capability to store gps so we can then relay to 000 once back in service. Thank you.,5,1,2021-09-18
756,"On last Friday night I suffered a crashing stroke. I was out on the bathroom tiles and couldn't talk, thankfully my wife was right there. She was a little flustered (understandable) and could not remember the number to call. She had this app on her phone and switch straight to the app and called the emergency number directly, also read the home address straight from the app screen.
I apologize if my words are mixed up, but I'm still recovering from the stroke.
I owe my wife for her recognition of what was happening and straight through to the help needed.",5,1,2017-09-12
757,"I had a serious fall mountain biking a couple of days ago. I managed to walk to the nearest fire road in a conservation area and gave my coordinates to the 000 operator. Our excellent ambo service had a 4WD in the park in good time, but took another hour and a half trying to track down which fire road I was on. I was in contact by phone but our maps were different. Eventually other riders spread out to guide them in.
Would have been much better if they had something to plug my coordinates in and guide them to me on an up to date map.",3,1,2020-06-11
758,Caution when reading out what 3 words over a phone to emergency services: their word list has similar sounding and pluralized words that may be misread by the operator and there are many examples of positions several km away with similar sounding names. There is security research on this topic. I would suggest incorporating other open source position readout protocols with better core technology.,4,1,2022-07-09
759,"* Valuable app which works well. 

* No clear channel provided to give feedback to app developer team - 000 website ‘contact us for feedback’ page sends you off to a myriad of pages on Department of Home Affairs website :(

* Feedback on behalf of a visually impaired member of community: the location details may not be very easy for some people to see.

* Perhaps a future release possibly include an accessibility option whereby the user could press a button for the location details to be read out by the phone? [Google maps is able to read out directions even when the phone is on a call, so such a feature may be possible(?).]",5,-1,2018-04-05
760,Used this app in a remote National park in outback Qld when a group member collapsed. We got straight through and we’re able to clearly communicate our location in the park (not near any of the camp grounds or roads etc) to the paramedics. We had no coverage and the sat phone wouldn’t work but this app connected! Everyone who journeys in remote Oz should have this app.,5,1,2021-08-01
761,"I would like to see functionality for this app to send location coordinates as an SMS to a programmed list of contacts. This button should share space with the others on the main screen. Ideally an emergency SMS should be able to use any network available, but I’m not sure how that could be implemented.",4,0,2020-04-14
762,"I had to use the app recently with the bush fire crisis I live in a no mobile service area and land line was damaged due to the fires.  My husbands phone does not have mobile wifi so can’t use it to dial 000, and only works while the internet is up.  So downloaded the app thinking he can use it to dial 000 and found he couldn’t the app told him to use his phone to dial 112 and that didn’t work either - saying not available in the area. So he had to use Facebook messenger to phone me to ask me to call 000 I was 30km away. Don’t waste your time",1,-1,2020-01-14
763,The what3words integration is genius and is exactly what I’ve wanted when sometimes the apps location description is occasionally off or too vague. It will also absolutely be vital for those lost in bush land who make calls. An absolutely must have!!,5,-1,2020-11-06
764,Terrific idea but would be of limited value without my glasses. The words are very small. How about increasing the size of the three words to fill the screen after 10 seconds and also reading the words out to help people with vision impairment or illiterate.,4,1,2020-11-02
765,"This app is wonderful and surely has saved some lives. 
Please change the app icon back to the old one though. The newer orange logo looks too much like other app icons and blends in. Not good for finding in a hurry.",5,1,2020-11-01
766,I wish the app could give an on water lat/long we are having to convert the location given from this app to what we can use. Just the option to select the form would help. Otherwise it’s a good app,5,1,2022-01-03
767,"The new app icon is much less ‘emergencyish’. I don’t like it at all. The old one stood out as a ‘click me now’ emergency button. The new one blends in. I’ll forget I’ve got it. In an emergency situation an app you can find super quickly is really important as you may not be thinking straight. 
Otherwise I still like the app.",3,1,2020-10-30
768,"Great app :-) I would also like to see the Military Grid Reference System added with long / latitude. 
Messaging option would also be a great feature to have also.",5,1,2020-10-31
769,"Concept and execution is great.  However, I think it could be improved by adding the WhatThreeWords location in addition to the GPS coordinates.  In stressful situations, quoting three short words is often easier to articulate than a string of numbers.",5,1,2019-11-02
770,"This is a great app. It would be even better if we were able to nominate it to not be archived to the cloud automatically if not used.. because you don’t need it, until you do!",5,1,2022-09-18
771,Great concept guys. We are frequent interstate holiday drivers and have come upon not so nice truck drivers harassing motorists in certain parts between rural NSW and VIC. Knowing where I am exactly can help in reporting trucks or accidents! I will be recommending this to friends and family.,5,1,2018-02-22
772,"I love the concept of the app and recommend it to friends, just hope I never have to use it.
The GPS font size adjustment is great but I don't understand why you don't adjust the street address below it using the same setting.",5,1,2017-06-23
773,"The app was so helpful.
It gives a perfect location every time.
The app has heaps of great features but, the app looks a bit tacky and there are buttons that I don’t know what they do.
There are also no instructions on what buttons do so please fix this!!!
Overall I really like this app. Thanks!😝",4,1,2019-06-14
774,"Great app. Is it possible for the app to have greater accessibility functionality to support individuals who may not be able to identify their location, understand the operator and/or see/say the 3 words. 
Thank you",4,1,2022-01-22
775,"Today, I got caught up in a traffic accident in rural SE QLD and needed to call the emergency services but had no idea how to describe where I was. I called 000 and used the app to give the operator the co-ordinates. Thanks so much a real life saver! Two patients quickly located and taken to hospital.",5,-1,2017-10-03
776,I think you guys should approach Apple and make this app available in control centre so when phone is locked other people can use it still as that would help save life's and responds times,5,1,2017-08-04
777,"This app is the only app on my phone I hope I never have to use!
I’ve read everything on this app that I can find to read on it & without having used it, I still say it’s the best app in my phone.",5,1,2019-03-12
778,"I thought that the What Three Words software gave a unique set of 3 words to reference a specific map location, but when I tested this on 2 mobile phones sitting next to each other, the latitude and longitude were the same but the three words were different. Is this meant to occur?",2,0,2020-11-24
779,"Emergency plus is a great app with a wonderful idea. My only suggestion is to include the number for the DAN (river alert network), so people in SCUBA emergencies know who to call. Otherwise a literal life saver app",4,1,2021-02-16
780,"How can this be? It shows blue dot in correct place of my home, but the address named is a 3 minute walk away across a park.  I then entered into Google Maps the GPS coordinates listed in the app as being my location. It also shows that the blue dot is where I am  but  the Emergency app address that I am supposed to give to a responder is not where I am. !!!",1,-1,2020-12-20
781,Great app so simple to use definitely a lifesaver would love to have it on my watch as I don’t always have my phone within hands reach.,5,1,2021-03-13
782,Came across accident on country road no knowing where you relaid gps cordinates to operator and pin pointed out location to the meter. Saved a lot of time in trying to describe where we were,5,-1,2017-12-12
783,"This has been a really handy app to have, but since the update, it won’t stay open. Crashes after a few seconds, even after deleting and re-installing. Please fix.",3,1,2020-11-02
784,"Overall, it’s a great app, and will save lives. The emergency contacts are comprehensive, but could use mental health emergency contacts. This is of critical importance when responding to people who are psychotic or suicidal, and will not seek help on their own.",4,-1,2019-02-17
785,Deleted and reinstalled and now it works perfectly.,4,1,2020-11-02
786,"Trying to teach my 3 yr old how to use it but he has to confirm to dial 000 3 times before it rings and then try to switch it to loudspeaker before he can hear it.

Would be excellent to have automatic dial and loudspeaker function with one touch from a locked phone. I understand risks with accidentally dial but it’s too hard for a 3 year old in current format?

Maybe where it asks “cancel” you can colour this red and “call 000” make this green! Remember kids can read it needs to be picture or colour based for them. 

Can u pls fix!",2,1,2018-11-20
787,W3W is too close to the bottom of the screen and obscured by the iOS app handle. Text is so small now. Old versions much clearer and easier to read.,3,1,2020-11-15
788,"Super useful app that everyone should have installed, the only thing I would recommend is if on the map the locations of near by defibrillators.",5,1,2019-11-03
789,Has a list of all the services you could possibly need with a description below and a gps on screen.,5,0,2017-07-23
790,Would love app to include metronome for CPR rate. Doing CPR while waiting for ambulance can save lives but doing it at correct number of compressions is necessary.,5,1,2022-05-30
791,"Have now disabled this app😠
The new orange logo looks like the logo for our local Eyecare Plus Optical Store. The old RED logo with 000 was more easily recognised.
Also:
The address that shows for our house is incorrect. Shows the right road but house number is over a kilometre out.",2,1,2020-11-10
